screen_name,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,followers_count,friends_count,favourites_count,statuses_count,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range
vadimyb,WorddART,jamesezie,laurenbaldy,uastin,baka_brooks,albedzxo,rchkang,nawinfree,parttimedessert,notwhitemichael,215,207,6442,5197,0.7896906811638962,0.20413357034563095,0.48963862251936124,0.167326302339929,0.47202835581890934
chickiparm,boykimba,mochmomo,TrungFu,Supercali432,mikeypizzle,ditavonbre,annachoiii12,sBplacidesiii,islesofwaikiki,FlipCeej,855,299,11986,19046,0.6507369866763223,0.16856426761136895,0.7968330513604944,0.4863943133203846,0.7375661123896654
blankcanvasvcu,shelly_winn,Nazmun_N,megs0111,_itsEC_,BamboomVT,Kenrawk,bahhumbug123,tracychauu,ljparnell,zoe1ohh1,369,296,859,1372,0.23510367052331288,0.6826742116108805,0.9143724718813335,0.6909121027956096,0.24454795688507125
LykaHyun,MaryAnnAnn23,Sir_Jaxx,holmesequoia,MikeyyySoL,KillzBillz,Cowsgomoo2,czrnasanti,SussanaAfrica,teexaye,sofftoy,474,456,26695,28109,0.6405658723727784,0.2364568404983275,0.48291246022630224,0.2148348786705509,0.5553039123282884
boykimba,sBplacidesiii,chickiparm,mochmomo,TrungFu,FlipCeej,annachoiii12,iRawn1c,mikeypizzle,Supercali432,ditavonbre,672,371,13410,15864,0.6297081214767237,0.27739143256049265,0.4600660947639231,0.30715276123737856,0.6341371543082445
jaderraade,nawinfree,andreandreams,jamesezie,glendalovesyou,wtfalvis,NoraElkins,kathjiang,parttimedessert,clairebee,vadimyb,166,225,8666,7171,0.5068182263473157,0.5232039430832536,0.7184164115438458,0.5047798596519815,0.5527798371247129
czrnasanti,KillzBillz,islesofwaikiki,LykaHyun,elll_ayeee,teexaye,mochmomo,MaryAnnAnn23,sBplacidesiii,AcunaMatata17,artofnek,448,581,16757,33609,0.5915680042039916,0.26950028589841823,0.6943525911458135,0.4671848502920126,0.5456415125208277
bwennuh,makeitreynaa,OGthesnackpack,eileeen_c,Ha0,KevinCPadilla,ItMeeNickLee,hi_christinee,vcegalla,justin_quion,justintyme23,90,165,632,938,0.43760042726905357,0.2805941122288541,0.3133003807740393,0.17010055443202776,0.7216935394407977
makeitreynaa,eileeen_c,bwennuh,OGthesnackpack,hi_christinee,KevinCPadilla,Ha0,vcegalla,lhousj,bowtothetran,ItMeeNickLee,78,99,1314,146,0.4073034398554541,0.11415397134616795,0.3573835916848377,0.32008972536889335,0.7341769131415905
aziz_eltayeb,Blake84223285,DancingJiggly,JGWellPlayed,CajunIslands,RouteRunnasVCU,sakurasang,D1_data,AllThooose,asian_max,doanphonics,61,135,4,11,,,,,
__iam_jo,lhousj,_itsEC_,akv0593,bowtothetran,itsmeiday,tracychauu,MahchuLapuz,albedzxo,shelly_winn,Kimmy_Gene,105,155,329,2730,0.529588098828253,0.13153152134636376,0.9605690581973259,0.5479612902384505,0.6950281876368103
RouteRunnasVCU,AllThooose,sakurasang,JGWellPlayed,DancingJiggly,Blake84223285,aziz_eltayeb,XtaseeDanceCrew,CajunIslands,mhr_minaz,D1_data,77,378,4,75,,,,,
vonIoI,stinefication,Lina_bean7,largierthanlife,parttimedessert,bowtothetran,madhav_babbar,andreandreams,albedzxo,rchkang,madzeelyn,267,115,5431,3985,0.34854843420675574,0.04653678781741577,0.5662625707457505,0.3832254029011773,0.8517701824934322
JUST_INcognito,_mnb91,_itsEC_,Taymee_Moju,Nazmun_N,helloitscamille,madzeelyn,bahhumbug123,albedzxo,shelly_winn,glendalovesyou,293,269,1624,6081,0.5672320109150346,0.38697692893480734,0.8089834359013309,0.48155908234350797,0.5205847875834169
taytastic,Michael_Lapuz,MeggzW,YEStherX,karma1097,jamiejames929,slobvocado,clairebee,wokebich,ScottDobbin,SmoothMusings,238,832,1993,7580,0.6086068709938937,0.34054239654775187,0.7921045263100102,0.44569587820937095,0.46028266662066725
asian_max,hemmo199666,knviray,eileeen_c,Ha0,makeitreynaa,bwennuh,DancingJiggly,hi_christinee,peterkii,KevinCPadilla,55,70,15,23,0.019765675519894388,0.4014950812640712,0.07210535456634426,0.3848684508004378,0.7685705036586263
bahhumbug123,_itsEC_,thejennaayyy,notwhitemichael,Taymee_Moju,shelly_winn,MahchuLapuz,glendalovesyou,lhousj,speak_ezy23,_mnb91,160,247,1394,1102,0.6638810894213711,0.5526587349929439,0.6644713601277025,0.5923699116083394,0.47510424122758876
Cowsgomoo2,MannyMulaTM,holmesequoia,bebepotato,MikeyyySoL,LykaHyun,artofnek,MaryAnnAnn23,KillzBillz,sBplacidesiii,mochmomo,1052,685,28750,31753,0.623923016257512,0.2573227512991198,0.509074012675884,0.40209360375492065,0.5263480979317134
sakurasang,RouteRunnasVCU,AllThooose,JGWellPlayed,DancingJiggly,mhr_minaz,Blake84223285,aziz_eltayeb,CajunIslands,XtaseeDanceCrew,SceneryInAnime,52,490,1,14,,,,,
campuscookieuva,D1_data,hemmo199666,SmoothMusings,thejennaayyy,bahhumbug123,TKTalksTech,chillosophies,eledwrites,Taymee_Moju,OYFAatUVa,43,305,21,45,0.6811690661170561,0.971870325368867,0.7643521476046244,0.5638291987760321,0.018246767934862962
iRawn1c,Elloimrachelwin,FlipCeej,annachoiii12,boykimba,sBplacidesiii,sofftoy,TwitrlssChris,mochmomo,GuppyRoc,MaryAnnAnn23,517,454,15245,8638,0.3896673157112798,0.20079251904984252,0.36909843721536717,0.22950695012797284,0.640417282802728
teexaye,czrnasanti,LykaHyun,KillzBillz,MaryAnnAnn23,elll_ayeee,AcunaMatata17,sofftoy,Sir_Jaxx,Elloimrachelwin,holmesequoia,164,145,19933,31943,0.5956452431783559,0.25916957457127165,0.6029823333898467,0.5092706837240853,0.6515072724097387
GuppyRoc,FlipCeej,annachoiii12,jamiejames929,clairebee,ScottDobbin,TrungFu,jessicarm,TwitrlssChris,mochmomo,iRawn1c,456,600,8419,10378,0.48199939375413314,0.26284676902197257,0.43024043680295454,0.3138218701461216,0.6099811794699832
lalvara23,peterkii,D1_data,hemmo199666,m4nang,hi_christinee,Ha0,eledwrites,knviray,asian_max,KevinCPadilla,31,97,31,51,0.8054287213318183,0.3713423586362917,0.5470018190737062,0.24455351088958527,0.8099850000211707
helloitscamille,esm404,chengalanggg,Kimmy_Gene,Nickkimer,nathanmpark,ashlee_ong,lolegra,_itsEC_,MahchuLapuz,Taymee_Moju,190,347,1334,3876,0.4866324519731725,0.35930975607732685,0.6435599625302129,0.31903086814519943,0.6211685512375331
ljparnell,Nazmun_N,megs0111,madhav_babbar,Kenrawk,zoe1ohh1,JUST_INcognito,madzeelyn,yvonnnecuh,shelly_winn,dendenx33,476,205,2679,5735,0.3187634988799084,0.1869612372248134,0.851278694683661,0.5494898814526061,0.56546094025788
Nazmun_N,megs0111,shelly_winn,zoe1ohh1,madhav_babbar,ljparnell,JUST_INcognito,_itsEC_,Kimmy_Gene,glendalovesyou,akv0593,314,236,2103,5003,0.28746512431962634,0.386380452458841,0.7892133234648866,0.6477889235843802,0.6483502380436843
ncbuela,JornelTorres,aRmads21,Nickkimer,lhousj,akv0593,MahchuLapuz,KevinCPadilla,vcegalla,ItMeeNickLee,emmmhutch,142,168,268,446,0.4930530865915265,0.3077847862891049,0.5873190609712932,0.04691841023968124,0.7746827671705956
